管理番号,サービス,拠点,事象,原因,開始日時,終了日時,ステータス
#111111,NOS,愛知支店,ALERT,サーバーメンテナンス,2022/6/12,2022/6/12,完了
#222222,NOS,静岡支店,ALERT,サーバーメンテナンス,2022/6/13,2022/6/13,完了
#333333,NOS,福井支店,ALERT,サーバーメンテナンス,2022/6/14,2022/6/14,完了
#444444,NOS,奈良支店,ALERT,サーバーメンテナンス,2022/6/15,2022/6/15,完了
#111111,NOS,大阪支店,ALERT,網終端装置輻輳,2022/6/16,2022/6/16,完了
#222222,NOS,京都支店,Maintanance,障害対処,2022/6/17,2022/6/17,完了
#333333,NOS,鳥取支店,Work,設備点検,2022/6/18,2022/6/18,完了
#444444,NOS,島根支店,ALERT,現地手配,2022/6/19,2022/6/19,完了
#555555,NOS,広島支店,Maintanace,設備工事,2022/6/20,2022/6/20,完了
#111111,NOS,神戸支店,ALERT,網終端装置輻輳,2022/6/21,2022/6/21,完了
#222222,NOS,和歌山支店,Maintanance,障害対処,2022/6/22,2022/6/22,完了
#333333,NOS,香川支店,Work,設備点検,2022/6/23,2022/6/23,完了
#444444,NOS,徳島支店,ALERT,現地手配,2022/6/24,2022/6/24,完了
#555555,NOS,高知支店,Maintanace,設備工事,2022/6/25,2022/6/25,完了
